"tr";"mese";"annrif";"progind";"sesso";"eta10";"staciv4";"pnasc";"reg";"rip";"istr4";"condogg";"posiz4";"ateco3";"cond4";"ORARIO";"RAPP";"CODPROF7";"progvia";"TIPOVGG";"DEST_RE";"DEST_PR";"DEST_IE";"GGINIZ";"MMINIZ";"AAINIZ";"DURATA";"MOTVAC";"MEZZO";"ALLOG";"MOTLAV";"ORGALL";"ORGTRA";"ALPART";"IORGALL";"IORGTRA";"TIPOMARE";"TIPOCROC";"TIPOMONT";"TIPOCITTA";"TIPOCAMP";"TIPOALTRO";"W";"COEV";"TRIM";"npart";"tipo";"ESPE_CO";"ESPE_GIO";"piattall1";"piattall2";"piattall3"
3;8;2019;3;2;6;2;1;80;2;3;1;4;3;1;NA;NA;4;1;"V0819";8;36;1;14;8;2019;3;1;5;14;NA;3;3;1;NA;NA;2;2;1;2;2;2;5225.2666702;15675.80001;3;2;7;115;38;NA;NA;NA
3;5;2019;41;2;5;4;1;100;3;3;1;1;2;1;1;2;3;1;"V0519";134;NA;2;11;5;2019;3;1;1;1;NA;2;2;2;2;1;1;2;2;1;1;2;3448.7237577;10346.171273;2;1;1;583;194;NA;NA;NA
3;4;2019;42;1;6;2;1;50;2;4;1;1;3;1;1;2;2;1;"V0419";12;56;1;23;4;2019;3;1;6;1;NA;1;2;1;3;3;2;2;2;1;2;2;6656.5019914;19969.505974;2;2;1;484;161;NA;NA;NA
3;6;2019;74;1;2;1;1;30;1;2;3;NA;NA;3;NA;NA;NA;1;"V0619";128;NA;2;14;6;2019;14;1;1;3;NA;1;1;2;1;1;1;2;2;2;2;2;7068.1310274;21204.393082;2;1;4;1473;105;2;2;2
3;8;2019;79;1;1;1;1;80;2;1;NA;NA;NA;NA;NA;NA;NA;1;"V0819";11;42;1;4;8;2019;2;1;5;18;NA;2;3;1;2;NA;2;2;2;1;2;2;9429.3117509;28287.935253;3;4;7;133;67;NA;NA;NA
3;9;2019;82;2;6;2;1;150;4;3;3;NA;NA;3;NA;NA;NA;1;"V0919";3;15;1;25;8;2019;13;2;2;14;NA;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;5230.0688752;15690.206626;3;2;NA;204;16;NA;NA;NA
3;11;2019;89;1;4;2;1;120;3;3;1;1;3;1;1;2;2;1;"V1119";13;68;1;22;11;2019;2;1;5;1;NA;2;3;1;1;NA;2;2;2;1;2;2;7813.8155944;23441.446783;4;4;5;88;44;1;2;2
3;6;2019;98;1;6;2;1;60;2;3;1;1;2;1;1;2;3;1;"V0619";6;31;1;22;6;2019;8;1;5;14;NA;3;3;1;NA;NA;1;2;2;1;2;2;2733.0087903;8199.0263708;2;2;2;73;9;NA;NA;NA
3;9;2019;125;2;3;1;1;60;2;2;1;4;3;1;NA;NA;4;1;"V0919";5;27;1;10;9;2019;1;1;5;14;NA;3;3;2;NA;NA;1;2;2;2;2;2;2207.1075309;6621.3225927;3;1;7;44;44;NA;NA;NA
3;7;2019;128;2;6;2;1;30;1;2;1;1;3;1;1;2;4;1;"V0719";11;41;1;20;6;2019;14;1;9;1;NA;1;3;1;2;NA;1;2;2;1;2;2;6585.3463739;19756.039122;3;2;7;650;46;NA;NA;NA
3;12;2019;137;2;5;4;1;20;1;3;1;2;3;1;2;1;6;1;"V1219";12;58;1;22;12;2019;6;2;2;14;NA;3;1;2;NA;1;NA;NA;NA;NA;NA;NA;490.2768858;1470.8306573;4;1;NA;241;40;NA;NA;NA
3;6;2019;150;1;5;2;1;40;2;2;1;2;2;1;1;2;5;1;"V0619";19;81;1;21;6;2019;8;1;1;18;NA;1;1;1;3;1;1;2;2;2;2;2;1875.0813247;5625.243974;2;2;2;1125;141;2;2;2
3;4;2019;161;2;7;4;1;180;4;3;3;1;3;4;NA;NA;2;1;"V0419";1;3;1;15;4;2019;15;2;1;14;NA;3;1;2;NA;1;NA;NA;NA;NA;NA;NA;4085.1071458;12255.321437;2;1;NA;250;17;NA;NA;NA
3;7;2019;166;2;7;2;1;110;3;3;3;1;2;4;NA;NA;2;1;"V0719";5;23;1;4;7;2019;1;1;5;1;NA;3;3;1;NA;NA;2;2;2;1;2;2;1816.8653005;5450.5959014;3;2;1;113;113;NA;NA;NA
3;6;2019;178;1;3;1;1;150;4;4;2;NA;NA;2;NA;NA;NA;1;"V0619";3;15;1;6;6;2019;2;2;2;14;NA;3;1;2;NA;1;NA;NA;NA;NA;NA;NA;8250.6379676;24751.913903;2;1;NA;250;125;NA;NA;NA
3;7;2019;181;2;6;2;1;50;2;3;1;3;1;3;NA;NA;1;1;"V0719";5;27;1;12;7;2019;3;2;5;14;NA;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;4789.5700076;14368.710023;3;2;NA;120;40;NA;NA;NA
3;8;2019;188;2;6;2;1;190;5;2;1;2;3;1;1;2;4;1;"V0819";7;9;1;17;8;2019;7;2;8;7;NA;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;10010.381233;30031.1437;3;2;NA;359;51;NA;NA;NA
3;4;2019;198;2;5;3;1;110;3;3;1;1;3;1;1;1;2;1;"V0419";12;58;1;5;4;2019;1;1;5;18;NA;2;3;2;1;NA;2;2;2;1;2;2;5378.0197348;16134.059204;2;1;1;276;276;1;2;2
3;8;2019;200;1;3;2;1;160;4;3;1;2;3;1;1;2;5;1;"V0819";17;77;1;1;8;2019;14;1;5;12;NA;1;3;1;2;NA;1;2;2;2;2;2;6323.6124206;18970.837262;3;4;7;113;8;NA;NA;NA
3;4;2019;209;1;7;4;1;30;1;1;3;2;2;4;NA;NA;5;1;"V0419";7;9;1;21;4;2019;5;1;5;13;NA;3;3;2;NA;NA;1;2;2;2;2;2;8291.2632119;24873.789636;2;1;7;200;40;NA;NA;NA
3;9;2019;222;1;5;1;1;80;2;3;1;2;2;1;1;2;5;1;"V0919";8;38;1;9;9;2019;2;1;5;7;NA;3;3;2;NA;NA;2;2;2;2;1;2;8632.463887;25897.391661;3;1;5;122;61;NA;NA;NA
3;2;2019;231;1;4;1;1;80;2;4;1;1;3;1;1;2;2;1;"V0219";16;71;1;1;2;2019;3;2;5;14;NA;3;3;2;NA;NA;NA;NA;NA;NA;NA;NA;11833.772327;35501.316982;1;1;NA;220;73;NA;NA;NA
3;7;2019;247;2;8;4;1;30;1;1;3;2;2;4;NA;NA;5;1;"V0719";8;99;1;5;7;2019;15;1;5;1;NA;1;3;2;2;NA;1;2;2;2;2;2;12281.124617;36843.37385;3;1;7;1520;101;NA;NA;NA
3;12;2019;249;2;4;1;1;50;2;3;1;1;3;1;1;2;4;1;"V1219";9;48;1;22;12;2019;3;1;2;12;NA;2;1;1;1;1;2;2;2;1;2;2;11569.670352;34709.011057;4;2;1;345;115;2;1;2
3;11;2019;295;1;6;2;1;70;1;4;3;1;3;4;NA;NA;2;1;"V1119";2;7;1;28;11;2019;2;1;5;13;NA;3;3;1;NA;NA;2;2;1;2;2;2;1497.3547128;4492.0641385;4;2;7;225;113;NA;NA;NA
3;8;2019;317;1;5;2;1;150;4;2;1;2;1;1;1;2;5;1;"V0819";16;75;1;24;8;2019;7;1;5;14;NA;3;3;1;NA;NA;1;2;2;2;2;2;11406.28023;34218.84069;3;4;7;188;27;NA;NA;NA
3;8;2019;330;1;4;2;1;10;1;3;1;4;1;1;NA;NA;1;1;"V0819";126;NA;2;8;8;2019;21;2;5;1;NA;1;3;1;1;NA;NA;NA;NA;NA;NA;NA;12442.159225;37326.477676;3;4;NA;788;38;2;2;2
3;5;2019;333;2;7;2;1;30;1;1;3;NA;NA;3;NA;NA;NA;1;"V0519";8;40;1;25;5;2019;6;1;5;1;NA;1;3;1;3;NA;1;2;2;2;2;2;5390.3359955;16171.007987;2;2;5;399;67;2;2;2
3;9;2019;349;2;6;2;1;70;1;2;3;2;3;3;NA;NA;6;1;"V0919";4;22;1;31;8;2019;14;1;5;12;NA;1;3;1;1;NA;2;2;1;2;2;2;1820.2437222;5460.7311666;3;3;7;402;29;2;2;2
3;5;2019;366;2;7;2;1;120;3;3;3;1;3;4;NA;NA;2;1;"V0519";138;NA;2;28;5;2019;3;1;1;12;NA;2;1;1;1;1;2;2;2;1;2;2;3355.3211211;10065.963363;2;2;7;325;108;1;2;2
3;2;2019;371;2;7;2;1;40;2;1;3;2;3;4;NA;NA;4;1;"V0219";3;13;1;8;2;2019;4;1;5;1;NA;1;3;1;2;NA;2;2;2;2;1;2;1199.3664342;3598.0993025;1;2;2;300;75;NA;NA;NA
